Timestamp,Total Counted,Total Recorded,Cash Variance,Card Variance,Total Variance
02/03/2016 18:17:42,1364.79,1352.00,-39.21,52.00,12.79
03/03/2016 15:12:00,1273.55,1140.00,61.55,72.00,133.55
04/03/2016 16:13:42,1429.58,1292.00,84.58,53.00,137.58
05/03/2016 14:22:12,618.28,575.50,39.28,3.50,42.78
07/03/2016 15:09:13,1149.02,1036.50,50.52,62.00,112.52
08/03/2016 15:58:15,1101.02,1032.00,21.02,48.00,69.02
09/03/2016 15:45:58,1215.34,1141.00,-2.66,77.00,74.34
10/03/2016 15:12:57,1235.96,1150.00,12.96,73.00,85.96
11/03/2016 16:10:40,1392.99,1262.50,56.99,73.50,130.49
12/03/2016 13:10:40,642.76,492.00,118.26,32.50,150.76
14/03/2016 15:10:40,1211.88,1074.50,73.88,63.50,137.38
15/03/2016 15:22:03,1440.75,1345.00,54.25,41.50,95.75
16/03/2016 16:09:10,1302.76,1133.00,55.76,114.00,169.76
17/03/2016 15:10:43,1386.93,1208.50,98.93,79.50,178.43
18/03/2016 15:53:49,1427.75,1336.00,46.75,45.00,91.75
19/03/2016 13:38:54,829.79,732.50,74.29,23.00,97.29
21/03/2016 15:09:59,1457.99,1392.00,57.49,8.50,65.99
22/03/2016 15:08:27,1366.91,1248.00,46.41,72.50,118.91
23/03/2016 15:32:24,1402.34,1326.00,-27.66,104.00,76.34
24/03/2016 15:10:53,1443.44,1368.00,132.94,-57.50,75.44
29/03/2016 15:18:19,1325.43,1288.50,-3.07,40.00,36.93
30/03/2016 15:15:22,1274.22,1174.50,47.22,52.50,99.72
31/03/2016 15:09:39,1348.12,1183.50,121.12,43.50,164.62
01/04/2016 15:08:32,1445.16,1320.00,85.16,40.00,125.16
02/04/2016 13:30:40,749.81,645.50,85.31,19.00,104.31
04/04/2016 15:08:24,1337.82,1240.50,77.82,19.50,97.32
05/04/2016 16:23:32,1229.84,1129.50,75.84,24.50,100.34
06/04/2016 16:32:15,1367.06,1209.00,115.06,43.00,158.06
07/04/2016 16:00:46,1396.49,1246.50,95.49,54.50,149.99
08/04/2016 15:34:57,1511.78,1333.00,140.28,38.50,178.78
09/04/2016 13:45:02,714.73,612.50,66.73,35.50,102.23
11/04/2016 16:00:38,1274.53,1200.00,38.03,36.50,74.53
12/04/2016 16:03:58,1309.29,1255.50,-23.71,77.50,53.79
13/04/2016 16:04:37,1175.22,1109.00,6.22,60.00,66.22
14/04/2016 15:08:14,1425.47,1259.00,-10.53,177.00,166.47
15/04/2016 15:10:44,1287.54,1127.00,114.54,46.00,160.54
16/04/2016 14:23:05,606.79,451.00,113.79,42.00,155.79
18/04/2016 15:08:32,1139.98,1018.50,110.48,11.00,121.48
19/04/2016 15:53:24,1356.70,1245.50,53.20,58.00,111.20
20/04/2016 16:06:03,1238.51,1148.00,44.51,46.00,90.51
21/04/2016 15:30:31,1410.74,1306.50,78.24,26.00,104.24
22/04/2016 15:03:13,1500.63,1396.50,58.13,46.00,104.13
26/04/2016 15:22:17,1277.83,1265.50,-59.67,72.00,12.33
27/04/2016 15:06:46,1358.18,1224.50,47.18,86.50,133.68