Timestamp,Cash Variance,Card Variance,Total Variance,Cash Percentage,Card Percentage
02/03/2016 18:17:42,-39.21,52.00,12.79,-3.067202406,4.067202406
03/03/2016 15:12:00,61.55,72.00,133.55,0.4608757535,0.5391242465
04/03/2016 16:13:42,84.58,53.00,137.58,0.6147665319,0.3852334681
05/03/2016 14:22:12,39.28,3.50,42.78,0.9181794974,0.08182050262
07/03/2016 15:09:13,50.52,62.00,112.52,0.4489871106,0.5510128894
08/03/2016 15:58:15,21.02,48.00,69.02,0.3045641521,0.6954358479
09/03/2016 15:45:58,-2.66,77.00,74.34,-0.03576522116,1.035765221
10/03/2016 15:12:57,12.96,73.00,85.96,0.1507870626,0.8492129374
11/03/2016 16:10:40,56.99,73.50,130.49,0.4367437508,0.5632562492
12/03/2016 13:10:40,118.26,32.50,150.76,0.7844317996,0.2155682004
14/03/2016 15:10:40,73.88,63.50,137.38,0.5377652371,0.4622347629
15/03/2016 15:22:03,54.25,41.50,95.75,0.5665991101,0.4334008899
16/03/2016 16:09:10,55.76,114.00,169.76,0.3284807721,0.6715192279
17/03/2016 15:10:43,98.93,79.50,178.43,0.5544403266,0.4455596734
18/03/2016 15:53:49,46.75,45.00,91.75,0.509552296,0.490447704
19/03/2016 13:38:54,74.29,23.00,97.29,0.7635933534,0.2364066466
21/03/2016 15:09:59,57.49,8.50,65.99,0.8711954858,0.1288045142
22/03/2016 15:08:27,46.41,72.50,118.91,0.3903107393,0.6096892607
23/03/2016 15:32:24,-27.66,104.00,76.34,-0.3624135614,1.362413561
24/03/2016 15:10:53,132.94,-57.50,75.44,1.762179291,-0.7621792907
29/03/2016 15:18:19,-3.07,40.00,36.93,-0.0831804624,1.083180462
30/03/2016 15:15:22,47.22,52.50,99.72,0.4735458576,0.5264541424
31/03/2016 15:09:39,121.12,43.50,164.62,0.7357514922,0.2642485078
01/04/2016 15:08:32,85.16,40.00,125.16,0.6803971484,0.3196028516
02/04/2016 13:30:40,85.31,19.00,104.31,0.8178537286,0.1821462714
04/04/2016 15:08:24,77.82,19.50,97.32,0.7996399055,0.2003600945
05/04/2016 16:23:32,75.84,24.50,100.34,0.7558346025,0.2441653975
06/04/2016 16:32:15,115.06,43.00,158.06,0.7279519708,0.2720480292
07/04/2016 16:00:46,95.49,54.50,149.99,0.6366374732,0.3633625268
08/04/2016 15:34:57,140.28,38.50,178.78,0.7846552277,0.2153447723
09/04/2016 13:45:02,66.73,35.50,102.23,0.6527457447,0.3472542553
11/04/2016 16:00:38,38.03,36.50,74.53,0.5102839191,0.4897160809
12/04/2016 16:03:58,-23.71,77.50,53.79,-0.4407713449,1.440771345
13/04/2016 16:04:37,6.22,60.00,66.22,0.09387492359,0.9061250764
14/04/2016 15:08:14,-10.53,177.00,166.47,-0.06325892935,1.063258929
15/04/2016 15:10:44,114.54,46.00,160.54,0.7134685656,0.2865314344
16/04/2016 14:23:05,113.79,42.00,155.79,0.7303996319,0.2696003681
18/04/2016 15:08:32,110.48,11.00,121.48,0.9094512413,0.09054875868
19/04/2016 15:53:24,53.20,58.00,111.20,0.4784205904,0.5215794096
20/04/2016 16:06:03,44.51,46.00,90.51,0.4917831049,0.5082168951
21/04/2016 15:30:31,78.24,26.00,104.24,0.750575331,0.249424669
22/04/2016 15:03:13,58.13,46.00,104.13,0.5582506602,0.4417493398
26/04/2016 15:22:17,-59.67,72.00,12.33,-4.83887942,5.83887942
27/04/2016 15:06:46,47.18,86.50,133.68,0.3529402275,0.6470597725